HCO3	SO4	Cl	Ca	Mg	Na	Origine	Sigle	Pays	Nature
160	19	7	50	6	5	Saint-Martin d’Abbat(F-45)	Abb	1	plat
341	27	3	84	23	2	Aix-les-Bains (F-73)	Aix	1	plat
312	372		176	46	28	St.Amand (F-59)	Ama	1	plat
263	23	9	91	5	3	Beckerish (F-68)	Bec	1	plat
287	3	5	44	24	23	Cayranne (F-84)	Cay	1	plat
1200	8	20	180	50	250	Cesar (F-42)	Ces	1	plat
298	9	23	96	6	11	Chambon (F-45)	Cha	1	plat
151	3	5	45	3	5	Les Chesnaux (F-45)	Che	1	plat
13	1	1	3	1	2	Chantade (F-63)	Cht	1	plat
386	1058	6	451	66	8	Contrexeville (F-88)	Con	1	plat
200	15	8	70	2	4	Cristal-Roc (F-72)	Cri	1	plat
250	5	20	71	6	11	St.Cyr (F-45)	Cyr	1	plat
173	51	1	63	10	1	Ecrins (F-05)	Ecr	1	plat
357	10	2	78	24	5	Evian (F-74)	Evi	1	plat
360	47	28	89	31	17	Fiée des Lois (F-79)	Fie	1	plat
403	1479		555	110		Hepar (F-42)	Hep	1	plat
256	6	23	86	3	18	St.Hyppolite (F-37)	Hip	1	plat
186	10	16	64	4	9	Laurier (F-77)	Lau	1	plat
78	8	2	27	1	1	Luchon (F-31))	Luc	1	plat
219	39	28	68	11	21	Saint-Martin (F-24)	Mar	1	plat
5	9	1	3	1	2	Montcalm (F-07)	Mon	1	plat
183	16	44	48	11	31	Ogeu (F-64)	Oge	1	plat
398	218	15	157	35	8	Ondine (F-95)	Ond	1	plat
731	12	8	200	20	6	Orezza (Corse)	Ore	1	plat
348	51	31	140	4	14	Perrier (F-30)	Per	1	plat
332	14	8	103	16	5	Thonon (F-74)	Tho	1	plat
329	1342	9	528	78	9	Saint-Antonin (F82)	Ton	1	plat
280	620	58	230	66	40	Vauban (F59)	Vau	1	plat
402	306	15	202	36	3	Vittel (F-88)	Vit	1	plat
64	7	8	10	6	8	Volvic (F-63)	Vol	1	plat
142	520		222	18	4	Wattwiller (F-68)	Wat	1	plat
68	5	15	11	5	15	Zilia (Corse)	Zil	1	plat
43	8	1	13	3	2	Alisea (I)	Ali	2	plat
429		18	157	8	14	Amerino (I)	Ame	2	plat
29	8		12		1	Sant’Anna (I)	Ann	2	plat
133	2	1	34	5	4	San Antonio	Ant	2	plat
293	5	3	46	30	7	San Benedetto (Venetie)	Sb1	2	plat
176	1420	1	533	66	1	Courmayeur (I)	Cou	2	plat
16	5	26	4	2	16	Napoleone-Isola Elba (I)	Nap	2	plat
361	28	26	134	5	14	Fabia (Terni)	Fab	2	plat
