"NO2" "type" "fluidite"
"1" 378.944 "P" "1"
"2" 806.6694 "T" "4"
"3" 634.5784 "A" "4"
"4" 673.3514 "T" "3"
"5" 589.7507 "P" "1"
"6" 445.6985 "V" "4"
"7" 382.8022 "A" "4"
"8" 325.8651 "U" "4"
"9" 194.9919 "U" "4"
"10" 203.6442 "P" "1"
"11" 216.0019 "A" "4"
"12" 345.6527 "P" "4"
"13" 275.5366 "P" "4"
"14" 246.3709 "V" "4"
"15" 269.5583 "U" "2"
"16" 356.7498 "U" "1"
"17" 262.3576 "P" "3"
"18" 516.0629 "T" "2"
"19" 248.9685 "A" "2"
"20" 190.2742 "A" "4"
"21" 185.56414 "T" "1"
"22" 207.4833 "P" "3"
"23" 149.17864 "V" "1"
"24" 211.4561 "U" "4"
"25" 119.03884 "U" "1"
"26" 137.47798 "U" "1"
"27" 13.400369 "U" "4"
"28" 81.4806 "P" "1"
"29" 87.13611 "A" "1"
"30" 102.185 "P" "3"
"31" 137.4818 "P" "4"
"32" 16.536589 "V" "1"
"33" 68.08195 "U" "3"
"34" 199.8815 "P" "2"
"35" 495.1102 "T" "3"
"36" 243.8306 "A" "4"
"37" 197.7805 "A" "3"
"38" 237.2793 "T" "3"
"39" 220.7387 "P" "1"
"40" 257.1815 "V" "1"
"41" 257.6781 "A" "2"
"42" 285.5068 "A" "2"
"43" 206.6047 "U" "2"
"44" 323.8596 "U" "4"
"45" 173.53687 "U" "1"
"46" 356.1195 "P" "3"
"47" 390.1366 "A" "2"
"48" 369.2412 "P" "1"
"49" 185.05417 "P" "4"
"50" 361.6776 "T" "4"
"51" 275.8804 "A" "4"
"52" 121.87901 "A" "2"
"53" 189.93422 "T" "4"
"54" 225.2463 "P" "4"
"55" 200.2444 "V" "1"
"56" 251.0504 "A" "4"
"57" 452.0206 "U" "4"
"58" 396.134 "U" "2"
"59" 414.8711 "P" "3"
"60" 425.9873 "A" "2"
"61" 468.905 "P" "1"
"62" 439.9685 "P" "4"
"63" 390.1175 "V" "1"
"64" 99.6447 "P" "3"
"65" 355.4128 "T" "4"
"66" 106.99056 "A" "2"
"67" 52.36647 "A" "3"
"68" 127.78855 "T" "1"
"69" 91.28081 "P" "2"
"70" 159.8288 "V" "2"
"71" 186.38353 "A" "2"
"72" 154.17902 "A" "1"
"73" 151.77433 "U" "3"
"74" 321.9687 "U" "4"
"75" 285.6596 "U" "1"
"76" 372.9466 "U" "3"
"77" 411.4904 "P" "4"
"78" 282.1643 "A" "1"
"79" 356.979 "P" "2"
"80" 438.4978 "P" "1"
"81" 318.1487 "V" "2"
"82" 392.1803 "U" "2"
"83" 454.6755 "U" "4"
"84" 184.74857 "P" "4"
"85" 308.3122 "T" "2"
"86" 113.65646 "A" "4"
"87" 128.14381 "P" "1"
"88" 286.5955 "T" "3"
"89" 53.64617 "A" "2"
"90" 93.06093 "A" "2"
"91" 154.24587 "T" "2"
"92" 179.84751 "P" "1"
"93" 293.3187 "V" "2"
"94" 369.3367 "A" "1"
"95" 299.7172 "U" "4"
"96" 214.3402 "P" "2"
"97" 249.5033 "P" "2"
"98" 421.6516 "P" "3"
"99" 149.16718 "V" "2"
"100" 168.3856 "U" "4"
"101" 573.0764 "U" "2"
"102" 302.8114 "P" "3"
"103" 438.918 "T" "1"
"104" 286.5764 "A" "3"
"105" 197.7614 "A" "4"
"106" 606.3104 "T" "4"
"107" 214.493 "P" "4"
"108" 175.68753 "V" "3"
"109" 257.5635 "A" "3"
"110" 174.81084 "A" "4"
"111" 97.21327 "U" "1"
"112" 96.69375 "U" "1"
"113" 215.6008 "U" "4"
"114" 108.00668 "U" "3"
"115" 169.44947 "P" "2"
"116" 186.93361 "A" "4"
"117" 212.4111 "P" "4"
"118" 249.3887 "P" "2"
"119" 128.44177 "V" "4"
"120" 110.11723 "U" "3"
"121" 313.3737 "U" "2"
"122" 154.74438 "P" "4"
"123" 458.4 "T" "3"
"124" 95.5 "A" "1"
"125" 103.2355 "A" "3"
"126" 152.418 "T" "2"
"127" 63.84939 "P" "2"
"128" 164.93423 "V" "3"
"129" 211.3797 "A" "3"
"130" 400.9281 "U" "4"
"131" 377.3014 "P" "2"
"132" 344.0483 "P" "1"
"133" 505.9208 "P" "2"
"134" 470.2038 "U" "3"
"135" 337.9172 "P" "2"
"136" 844.3919 "T" "1"
"137" 280.4644 "A" "3"
"138" 200.6073 "A" "1"
"139" 183.9903 "T" "3"
"140" 499.4459 "P" "4"
"141" 274.0277 "V" "2"
"142" 288.601 "A" "1"
"143" 102.29578 "A" "2"
"144" 261.9756 "U" "4"
"145" 337.7262 "U" "3"
"146" 114.41664 "U" "2"
"147" 107.57884 "U" "2"
"148" 124.67716 "P" "2"
"149" 126.5375 "A" "3"
"150" 168.12584 "P" "2"
"151" 256.0546 "P" "1"
"152" 118.32259 "V" "1"
"153" 397.7957 "U" "4"
"154" 239.9724 "U" "1"
"155" 193.6167 "P" "2"
"156" 318.015 "T" "1"
"157" 205.6688 "A" "2"
"158" 175.42013 "A" "1"
"159" 169.13814 "T" "2"
"160" 145.56301 "P" "3"
"161" 271.0099 "V" "4"
"162" 55.69369 "P" "1"
"163" 279.2038 "T" "4"
"164" 160.96716 "A" "3"
"165" 64.52362 "A" "4"
"166" 103.79322 "T" "2"
"167" 113.60107 "P" "3"
"168" 135.38271 "V" "2"
"169" 144.03501 "P" "4"
"170" 112.00049 "V" "4"
"171" 82.06888 "U" "3"
"172" 121.2659 "U" "2"
"173" 325.8269 "P" "1"
"174" 411.414 "T" "3"
"175" 470.3375 "A" "3"
"176" 646.7451 "A" "1"
"177" 752.8647 "T" "4"
"178" 453.052 "P" "4"
"179" 339.3306 "V" "4"
"180" 162.22585 "A" "3"
"181" 249.9044 "A" "4"
"182" 182.29613 "U" "4"
"183" 294.4456 "U" "3"
"184" 194.3043 "U" "3"
"185" 91.76786 "U" "1"
"186" 149.80894 "P" "4"
"187" 164.92277 "A" "3"
"188" 212.7549 "P" "1"
"189" 311.8457 "P" "2"
"190" 282.8519 "V" "1"
"191" 245.0148 "U" "3"
"192" 150.83652 "U" "4"
"193" 143.25 "P" "3"
"194" 286.7483 "T" "2"
