"Ozone" "Temperature" "Vent"
"1" 138 19.4 7.4
"2" 132 22.2 8
"3" 91 23.3 12.6
"4" 105 16.7 11.5
"5" 114 18.3 8.6
"6" 107 15 13.8
"7" 80 16.1 20.1
"8" 101 20.6 9.7
"9" 89 18.9 9.2
"10" 96 20 10.9
"11" 105 14.4 13.2
"12" 96 17.8 11.5
"13" 129 18.9 12
"14" 73 13.9 18.4
"15" 124 20 11.5
"16" 89 16.7 9.7
"17" 40 15 9.7
"18" 89 22.8 16.6
"19" 63 16.1 9.7
"20" 127 16.1 12
"21" 114 19.4 12
"22" 142 27.2 14.9
"23" 194 26.1 5.7
"24" 133 24.4 7.4
"25" 123 27.8 9.7
"26" 165 32.2 13.8
"27" 135 30.6 11.5
"28" 114 27.8 8
"29" 110 25 14.9
"30" 133 22.2 20.7
"31" 108 18.3 9.2
"32" 91 22.8 11.5
"33" 94 24.4 10.3
"34" 205 28.9 4
"35" 146 29.4 9.2
"36" 127 27.2 9.2
"37" 160 28.3 4.6
"38" 137 28.3 10.9
"39" 170 31.1 5.1
"40" 184 33.3 6.3
"41" 184 33.3 5.7
"42" 176 31.7 7.4
"43" 86 22.8 14.3
"44" 120 27.2 14.9
"45" 76 26.7 14.3
"46" 145 27.2 6.9
"47" 131 27.8 10.3
"48" 157 28.9 6.3
"49" 171 30.6 5.1
"50" 159 29.4 11.5
"51" 101 23.3 6.9
"52" 172 30 8.6
"53" 190 29.4 8
"54" 108 27.8 8.6
"55" 149 30 12
"56" 174 31.1 7.4
"57" 147 30 7.4
"58" 160 28.3 7.4
"59" 155 27.2 9.2
"60" 135 27.2 6.9
"61" 83 27.2 13.8
"62" 101 27.8 7.4
"63" 198 31.7 4
"64" 178 32.2 10.3
"65" 191 32.2 8
"66" 141 30 11.5
"67" 121 27.8 11.5
"68" 161 26.7 9.7
"69" 112 25 10.3
"70" 155 26.1 6.3
"71" 114 24.4 7.4
"72" 125 25.6 10.9
"73" 141 25.6 10.3
"74" 110 25 15.5
"75" 83 22.2 14.3
"76" 142 26.1 9.7
"77" 220 27.2 3.4
"78" 167 30 8
"79" 169 36.1 9.7
"80" 196 34.4 2.3
"81" 175 35.6 6.3
"82" 176 34.4 6.3
"83" 183 32.8 6.9
"84" 171 33.3 5.1
"85" 167 33.9 2.8
"86" 180 33.9 4.6
"87" 144 30.6 7.4
"88" 127 28.9 15.5
"89" 108 26.7 10.9
"90" 114 25.6 10.3
"91" 110 23.9 10.9
"92" 115 22.8 9.7
"93" 141 27.2 14.9
"94" 110 24.4 15.5
"95" 121 25 6.3
"96" 83 21.7 10.9
"97" 94 21.7 11.5
"98" 143 25.6 6.9
"99" 105 19.4 13.8
"100" 94 24.4 10.3
"101" 115 20 10.3
"102" 101 27.8 8
"103" 94 17.8 12.6
"104" 114 21.7 9.2
"105" 132 27.2 10.3
"106" 76 20.6 10.3
"107" 96 17.2 16.6
"108" 124 21.1 6.9
"109" 96 23.9 14.3
"110" 105 24.4 8
"111" 108 20 11.5
