NO2;type;fluidite
378.944;P;A
806.6694;T;D
634.5784;A;D
673.3514;T;C
589.7507;P;A
445.6985;V;D
382.8022;A;D
325.8651;U;D
194.9919;U;D
203.6442;P;A
216.0019;A;D
345.6527;P;D
275.5366;P;D
246.3709;V;D
269.5583;U;B
356.7498;U;A
262.3576;P;C
516.0629;T;B
248.9685;A;B
190.2742;A;D
185.56414;T;A
207.4833;P;C
149.17864;V;A
211.4561;U;D
119.03884;U;A
137.47798;U;A
13.400369;U;D
81.4806;P;A
87.13611;A;A
102.185;P;C
137.4818;P;D
16.536589;V;A
68.08195;U;C
199.8815;P;B
495.1102;T;C
243.8306;A;D
197.7805;A;C
237.2793;T;C
220.7387;P;A
257.1815;V;A
257.6781;A;B
285.5068;A;B
206.6047;U;B
323.8596;U;D
173.53687;U;A
356.1195;P;C
390.1366;A;B
369.2412;P;A
185.05417;P;D
361.6776;T;D
275.8804;A;D
121.87901;A;B
189.93422;T;D
225.2463;P;D
200.2444;V;A
251.0504;A;D
452.0206;U;D
396.134;U;B
414.8711;P;C
425.9873;A;B
468.905;P;A
439.9685;P;D
390.1175;V;A
99.6447;P;C
355.4128;T;D
106.99056;A;B
52.36647;A;C
127.78855;T;A
91.28081;P;B
159.8288;V;B
186.38353;A;B
154.17902;A;A
151.77433;U;C
321.9687;U;D
285.6596;U;A
372.9466;U;C
411.4904;P;D
282.1643;A;A
356.979;P;B
438.4978;P;A
318.1487;V;B
392.1803;U;B
454.6755;U;D
184.74857;P;D
308.3122;T;B
113.65646;A;D
128.14381;P;A
286.5955;T;C
53.64617;A;B
93.06093;A;B
154.24587;T;B
179.84751;P;A
293.3187;V;B
369.3367;A;A
299.7172;U;D
214.3402;P;B
249.5033;P;B
421.6516;P;C
149.16718;V;B
168.3856;U;D
573.0764;U;B
302.8114;P;C
438.918;T;A
286.5764;A;C
197.7614;A;D
606.3104;T;D
214.493;P;D
175.68753;V;C
257.5635;A;C
174.81084;A;D
97.21327;U;A
96.69375;U;A
215.6008;U;D
108.00668;U;C
169.44947;P;B
186.93361;A;D
212.4111;P;D
249.3887;P;B
128.44177;V;D
110.11723;U;C
313.3737;U;B
154.74438;P;D
458.4;T;C
95.5;A;A
103.2355;A;C
152.418;T;B
63.84939;P;B
164.93423;V;C
211.3797;A;C
400.9281;U;D
377.3014;P;B
344.0483;P;A
505.9208;P;B
470.2038;U;C
337.9172;P;B
844.3919;T;A
280.4644;A;C
200.6073;A;A
183.9903;T;C
499.4459;P;D
274.0277;V;B
288.601;A;A
102.29578;A;B
261.9756;U;D
337.7262;U;C
114.41664;U;B
107.57884;U;B
124.67716;P;B
126.5375;A;C
168.12584;P;B
256.0546;P;A
118.32259;V;A
397.7957;U;D
239.9724;U;A
193.6167;P;B
318.015;T;A
205.6688;A;B
175.42013;A;A
169.13814;T;B
145.56301;P;C
271.0099;V;D
55.69369;P;A
279.2038;T;D
160.96716;A;C
64.52362;A;D
103.79322;T;B
113.60107;P;C
135.38271;V;B
144.03501;P;D
112.00049;V;D
82.06888;U;C
121.2659;U;B
325.8269;P;A
411.414;T;C
470.3375;A;C
646.7451;A;A
752.8647;T;D
453.052;P;D
339.3306;V;D
162.22585;A;C
249.9044;A;D
182.29613;U;D
294.4456;U;C
194.3043;U;C
91.76786;U;A
149.80894;P;D
164.92277;A;C
212.7549;P;A
311.8457;P;B
282.8519;V;A
245.0148;U;C
150.83652;U;D
143.25;P;C
286.7483;T;B
166.93973;A;A
159.43152;A;B
196.4053;T;A
238.9601;P;A
256.0928;V;D
198.2771;A;B
120.35865;A;A
146.34611;U;B
176.47063;U;B
320.0014;U;C
284.8192;U;A
222.8588;P;C
209.6989;A;A
257.9264;P;B
225.8384;P;A
253.0368;V;B
191.955;U;A
269.0808;U;D
408.2243;P;B
496.4854;T;B
452.1925;A;A
461.0167;A;C
481.9885;T;A
501.7188;P;B
376.4801;A;A
162.58302;A;A
296.5084;U;B
373.0039;U;A
500.4009;U;A
178.03492;U;C
299.9846;P;A
359.4238;A;A
381.3888;P;D
397.8912;P;C
355.2027;V;C
331.0985;U;D
335.7398;U;A
511.3834;V;C
85.37509;A;B
74.49;T;C
99.18439;P;A
126.51649;V;A
81.63913;A;D
94.22603;A;C
135.70359;U;A
143.18506;U;A
155.85791;U;B
177.01689;U;A
101.72469;P;D
83.4097;A;B
85.61957;P;C
114.41282;P;C
97.24574;V;C
107.06123;U;A
181.09283;U;D
207.999;P;D
207.2923;T;A
221.8656;A;A
237.4321;A;D
199.3276;T;A
199.2512;P;C
206.471;V;A
170.7731;A;D
201.2949;A;D
256.6085;U;C
292.8794;U;C
202.1544;U;C
206.5474;U;D
160.91177;P;A
87.45508;A;D
158.3008;P;D
171.36711;P;A
206.5283;V;C
130.48929;U;B
285.4304;U;A
132.35345;A;A
150.59777;T;D
174.21492;P;B
210.0045;V;C
137.30417;A;A
106.62766;A;C
168.71985;U;A
206.0508;U;B
119.3177;U;B
174.5931;U;B
127.64148;P;D
131.45002;A;C
70.77505;P;C
184.1622;P;B
121.87519;V;D
152.39126;U;A
129.116;U;C
