Annee	L	K	W	R	Y
1948	1.415	0.612	0.243	0.1454	1.214
1949	1.384	0.559	0.26	0.2181	1.354
1950	1.388	0.573	0.278	0.3157	1.569
1951	1.55	0.564	0.297	0.394	1.948
1952	1.802	0.574	0.31	0.6559	2.265
1953	1.926	0.711	0.322	0.3593	2.731
1954	1.964	0.776	0.335	0.4025	3.025
1955	2.116	0.827	0.35	0.3961	3.562
1956	2.435	0.8	0.361	0.3822	3.646
1957	2.707	0.921	0.379	0.3045	4.42
1958	2.706	1.067	0.391	0.3284	4.563
1959	2.846	1.083	0.426	0.3856	5.385
1960	3.089	1.481	0.441	0.3193	5.554
1961	3.122	1.736	0.46	0.3079	5.465
1962	3.184	1.926	0.485	0.3783	4.825
1963	3.263	2.041	0.506	0.418	6.874
1964	3.412	1.997	0.538	0.5163	7.823
1965	3.623	2.257	0.564	0.5879	9.12
1966	4.074	2.742	0.586	0.5369	10.512
1967	4.71	3.564	0.622	0.4443	13.02
1968	5.217	4.848	0.666	0.3052	15.261
1969	5.569	6.511	0.731	0.2332	16.313
1970	5.495	7.427	0.831	0.1883	16.002
1971	5.334	8.673	0.905	0.2023	15.874
1972	5.345	8.331	1	0.2506	16.662
1973	5.662	8.557	1.056	0.2668	17.014
1974	5.729	9.508	1.131	0.2664	19.305
1975	5.722	9.062	1.247	0.2301	18.721
1976	5.762	8.262	1.375	0.3452	19.25
1977	5.877	7.474	1.544	0.4508	20.647
1978	6.108	7.104	1.703	0.5877	22.726
1979	6.852	6.874	1.779	0.5346	23.619
