"Breadth" "Length" "Site"
"1" 6.5 8 1
"2" 6 9 1
"3" 6.5 9 1
"4" 7 9 1
"5" 8 9.5 1
"6" 7 10 1
"7" 8 10 1
"8" 8 10 1
"9" 7 11 1
"10" 8 11 1
"11" 9 11 1
"12" 10 13 1
"13" 11 13 1
"14" 12 13 1
"15" 11 14 1
"16" 11 14 1
"17" 13 14 1
"18" 14 16 1
"19" 15 16 1
"20" 15 16 1
"21" 15 19 1
"22" 16 16 1
"23" 12 14 2
"24" 15 16 2
"25" 14 16.5 2
"26" 13 17 2
"27" 15 17 2
"28" 15 18 2
"29" 15 18 2
"30" 16 18 2
"31" 14 19 2
"32" 15 19 2
"33" 16 19 2
"34" 16.5 19 2
"35" 18 19 2
"36" 18 19 2
"37" 16 20 2
"38" 16 20 2
"39" 17 20 2
"40" 18 20 2
"41" 19 20 2
"42" 15 21 2
"43" 16 21 2
"44" 21 21 2
"45" 19 22 2
"46" 20 22 2
