"Num";"CNTY";"DIFF";"STATUS";"HECTARE";"ToF";"OWNLAND";"AGE";"HARVEST";"r1";"r2";"r3";"r4";"r5";"r6";"r7";"r8";"r11";"r12";"r14";"r17";"r18";"r19";"r21";"r22";"r24";"r28";"r30";"r32";"r36";"r37"
1;27;1;1;166;1;1;35;88;0,45;0,62;0,26;0,11;0,33;0,79;0,59;0,2;0,66;1,37;0,23;0,09;0,07;0,17;0,13;0,32;0,3;0,48;0,35;0,43;0,89;0,57
2;27;1;1;101;1;0;35;88;0,45;0,62;0,24;0,11;0,34;0,52;0,39;0,13;0,71;1,25;0,15;0,07;0,03;0,14;0,08;0,31;0,37;0,43;0,3;0,4;0,35;0,87
3;27;1;1;138;3;1;42;88;0,33;0,82;0,56;0,19;0,15;0,7;0,31;0,39;0,41;0,64;0,48;0,04;0,03;0,1;0,09;0,29;0,17;0,35;0,25;0,32;1,3;0,48
4;27;1;1;166;1;1;50;88;0,36;0,73;0,36;0,13;0,23;0,77;0,5;0,28;0,47;1,07;0,37;0,06;0,05;0,11;0,09;0,19;0,27;0,48;0,38;0,43;1,39;0,47
5;27;1;0;137;4;1;33;88;0,44;0,65;0,31;0,14;0,3;0,85;0,58;0,27;0,77;1,48;0,26;0,05;0,04;0,13;0,08;0,26;0,26;0,48;0,37;0,43;0,89;0,52
6;27;1;1;107;1;1;45;88;0,31;0,76;0,26;0,08;0,23;0,71;0,52;0,19;0,82;1,47;0,19;0,02;0,02;0,07;0,04;0,15;0,19;0,44;0,38;0,43;1,32;0,43
7;27;1;1;100;1;0;34;88;0,72;0,32;0,16;0,12;0,6;0,89;0,75;0,15;0,66;1,1;0,18;0,04;0,03;0,13;0,08;0,32;0,32;0,4;0,27;0,37;0,44;0,8
8;27;1;1;69;1;1;30;88;0,57;0,47;0,12;0,07;0,5;0,86;0,76;0,1;0,66;1,24;0,13;0,09;0,08;0,24;0,16;0,52;0,31;0,46;0,22;0,39;0,76;0,66
9;27;1;1;176;1;1;44;88;0,15;0,88;0,21;0,03;0,12;0,44;0,35;0,09;0,78;1,48;0,1;0,09;0,04;0,22;0,07;0,41;0,18;0,48;0,32;0,43;2,15;0,36
10;27;1;0;177;1;1;39;88;0,38;0,71;0,33;0,13;0,26;0,85;0,56;0,28;0,56;0,87;0,34;0,07;0,06;0,17;0,16;0,47;0,17;0,37;0,19;0,31;1,36;0,45
11;27;1;1;108;1;1;40;88;0,31;0,7;0,09;0,02;0,3;0,67;0,66;0,05;0,79;1,43;0,07;0,07;0,05;0,13;0,11;0,29;0,2;0,44;0,32;0,4;1,4;0,45
12;27;1;1;123;3;1;40;88;0,35;0,81;0,55;0,19;0,16;0,5;0,22;0,28;0,31;0,46;0,48;0,1;0,05;0,1;0,15;0,3;0,23;0,33;0,23;0,28;0,84;0,7
13;27;1;1;87;3;1;40;88;0,12;0,89;0,09;0,02;0,11;0,25;0,23;0,05;0,89;1,48;0,07;0,11;0,03;0,14;0,07;0,32;0,21;0,45;0,31;0,42;1,06;0,46
14;27;1;1;139;1;1;52;88;0,34;0,7;0,17;0,06;0,28;0,66;0,54;0,11;0,45;0,77;0,2;0,1;0,06;0,13;0,15;0,32;0,22;0,42;0,28;0,36;1,37;0,52
15;27;1;1;57;3;1;49;88;0,15;0,87;0,14;0,02;0,13;0,38;0,33;0,05;0,71;1,14;0,07;0,08;0,03;0,07;0,08;0,17;0,15;0,38;0,31;0,35;1,73;0,4
16;27;1;0;220;1;0;44;88;0,52;0,67;0,53;0,27;0,24;0,88;0,41;0,47;0,46;0,71;0,5;0,05;0,04;0,14;0,11;0,4;0,21;0,36;0,22;0,32;0,78;0,59
17;27;1;1;110;1;1;40;88;0,5;0,56;0,2;0,1;0,4;1,07;0,85;0,22;0,44;0,82;0,33;0,04;0,04;0,16;0,1;0,34;0,22;0,46;0,3;0,42;1,49;0,47
18;27;1;1;132;1;1;45;88;0,22;0,8;0,13;0,03;0,19;0,63;0,55;0,08;0,46;0,65;0,15;0,11;0,08;0,23;0,28;0,77;0,1;0,3;0,07;0,21;2,15;0,36
19;27;1;0;136;1;0;35;88;0,13;0,88;0,13;0,02;0,11;0,22;0,2;0,05;0,89;1,48;0,07;0,1;0,02;0,08;0,04;0,14;0,33;0,48;0,38;0,43;0,72;0,58
20;27;1;1;84;3;1;40;88;0,45;0,77;0,63;0,29;0,17;0,88;0,32;0,56;0,27;0,37;0,67;0,03;0,02;0,09;0,09;0,33;0,14;0,27;0,18;0,24;1,13;0,51
21;27;1;1;119;3;0;49;88;0,44;0,6;0,14;0,06;0,38;0,74;0,64;0,1;0,3;0,41;0,25;0,1;0,08;0,16;0,28;0,56;0,16;0,28;0,12;0,2;1,28;0,6
22;27;1;1;97;1;1;40;88;0,67;0,4;0,23;0,16;0,51;1,01;0,78;0,24;0,64;1,35;0,27;0,04;0,04;0,12;0,09;0,23;0,35;0,48;0,38;0,43;0,64;0,66
