Diet	Exercise	Loss
1	1	7
1	1	12
1	1	5
1	1	8
1	1	12
1	1	6
1	2	15
1	2	21
1	2	13
1	2	12
1	2	9
1	2	12
1	3	12
1	3	14
1	3	8
1	3	11
1	3	10
1	3	12
1	4	1
1	4	4
1	4	3
1	4	7
1	4	8
1	4	5
2	1	5
2	1	21
2	1	12
2	1	8
2	1	10
2	1	9
2	2	13
2	2	15
2	2	12
2	2	16
2	2	17
2	2	14
2	3	14
2	3	12
2	3	13
2	3	15
2	3	9
2	3	10
2	4	4
2	4	12
2	4	8
2	4	9
2	4	11
2	4	9
3	1	9
3	1	6
3	1	3
3	1	4
3	1	6
3	1	4
3	2	14
3	2	17
3	2	17
3	2	18
3	2	20
3	2	21
3	3	15
3	3	16
3	3	12
3	3	9
3	3	8
3	3	17
3	4	9
3	4	10
3	4	8
3	4	11
3	4	9
3	4	8
