"mort" "temp" "part"
"1" 97.85 72.38 72.72
"2" 104.64 67.19 49.6
"3" 94.36 62.94 55.68
"4" 98.05 72.49 55.16
"5" 95.85 74.25 66.02
"6" 95.98 67.88 44.01
"7" 88.63 74.2 47.83
"8" 90.85 74.88 43.6
"9" 92.06 64.17 24.99
"10" 88.75 67.09 40.41
"11" 94.6 78.29 51.93
"12" 92.86 68.07 32.26
"13" 98.02 86.7 73.65
"14" 87.64 69.43 30.15
"15" 97.4 75.22 41.1
"16" 83.24 77.29 41.53
"17" 86.6 69.96 29.46
"18" 90.69 79.35 51.13
"19" 82.86 82.94 41.37
"20" 99.06 89.79 59.49
"21" 81 80.19 48.25
"22" 93.18 87.58 51.73
"23" 86.86 81.76 44.21
"24" 89.35 86.79 59.59
"25" 87.13 87.46 60.82
"26" 88.39 88.21 55.01
"27" 85.38 83.4 50.59
"28" 83.96 86.1 55.05
"29" 84.95 82.16 48
"30" 86.81 81.31 55.37
"31" 85.25 78.99 64.44
"32" 94.72 92.56 75
"33" 90.96 84.5 61.46
"34" 87.73 76.44 50.04
"35" 92.58 73.97 49.9
"36" 87.02 69.63 51.14
"37" 92.68 81.05 77.88
"38" 97.95 69.57 46.71
"39" 94.19 78.05 73.86
"40" 93.95 70.61 76.87
"41" 92.29 60.95 39.85
"42" 93.48 67.74 71.52
"43" 97.41 68.5 63.87
"44" 96.98 54.84 48.81
"45" 106.6 60.58 68.82
"46" 112.41 62.14 64.39
"47" 118.59 51.26 81.76
"48" 107.9 72.55 73.55
"49" 111.82 64.42 67.99
"50" 102.78 78.25 75.37
"51" 100.63 59.17 65.23
"52" 106.54 80.89 69.91
"53" 105.39 58.63 44.34
"54" 104.99 62.5 40.8
"55" 102.72 67.52 55.09
"56" 104.67 63.56 38.44
"57" 103.3 74.87 53.54
"58" 98.46 64.98 42.46
"59" 100.78 82.7 53.22
"60" 94.43 72.63 44.41
"61" 92.16 65.36 31.29
"62" 92.13 63.33 31.1
"63" 95.04 66.1 35.92
"64" 86.88 64.85 37.73
"65" 95.29 76.37 35
"66" 85.39 75.27 36.25
"67" 92.63 65.15 22.75
"68" 88.72 69.62 32.26
"69" 87.09 72.81 34.77
"70" 83.92 85.57 52.73
"71" 89.01 78.58 36.59
"72" 78.14 77.32 30.04
"73" 92.84 87.27 49.91
"74" 88.65 86.29 42.6
"75" 86.66 83.55 35.89
"76" 82.04 88.57 41.76
"77" 105.15 95.34 47.03
"78" 94.19 88.18 36.62
"79" 83.99 82.71 31.4
"80" 88.22 89.8 46.76
"81" 85.59 81.63 30.6
"82" 99.21 98.95 60.58
"83" 87.77 82.58 33.3
"84" 90.39 79.74 50.08
"85" 82.25 77.31 46.99
"86" 102.92 99.88 73.07
"87" 86.84 69.19 50.28
"88" 97.22 76.29 71.6
"89" 94.97 64.28 50.09
"90" 104.86 78.61 82.85
"91" 80.53 65.87 58.36
"92" 102.47 68.18 62.63
"93" 97.8 65.98 71.27
"94" 95.28 63.95 50.85
"95" 105.64 57.65 65.13
"96" 106.44 64.27 74.74
"97" 110.65 55.18 39.59
"98" 114.41 63.52 69.67
"99" 115.98 63.95 84.23
"100" 112.72 69.91 84.96
"101" 115.99 58.9 67.68
"102" 104.14 65.25 58.62
"103" 109.3 62.79 57.02
"104" 111.47 71.43 64.58
"105" 102.67 68.72 63.25
"106" 101.34 66.96 56.92
"107" 94.97 75.68 46.59
"108" 90.48 68.57 49.2
"109" 93.7 68.62 48.55
"110" 81.87 69.61 39.16
"111" 91.12 71.89 43.59
"112" 90.55 73.66 43.26
"113" 89.62 70.67 35.86
"114" 91.63 69.9 40.4
"115" 89.22 80.23 44.84
